ageban,WEIGHT,northeast,south,midwest,female,white,nonwhite,hsgrad,somecoll,colgrad,idR,idD,idI,survey,year,stname,monthst,dayst,monthend,dayend
50-64,.71258754,0,0,0,1,1,0,1,1,1,0,0,1,2017-31116496,2016,California,8,4,10,2
18-29,3.8406317,0,0,0,1,1,0,1,1,0,1,0,0,2017-31116496,2016,California,8,4,10,2
65+,.27462226,1,0,0,0,1,0,1,1,1,0,0,1,2017-31116496,2016,Massachusetts,8,4,10,2
65+,.47312835,1,0,0,0,1,0,1,1,1,1,0,0,2017-31116496,2016,Pennsylvania,8,4,10,2
65+,.27462226,1,0,0,0,1,0,.a,.a,.a,.a,.a,.a,2017-31116496,2016,New Jersey,8,4,10,2
50-64,.20393097,0,1,0,0,1,0,1,1,1,0,0,1,2017-31116496,2016,Tennessee,8,4,10,2
50-64,.4099175,0,1,0,0,0,1,1,1,1,0,0,1,2017-31116496,2016,Florida,8,4,10,2
30-49,1.4417946,1,0,0,1,0,1,1,1,1,0,1,0,2017-31116496,2016,Pennsylvania,8,4,10,2
30-49,.79429358,1,0,0,1,1,0,1,1,1,0,0,1,2017-31116496,2016,Massachusetts,8,4,10,2
30-49,.7467404,1,0,0,1,1,0,1,1,1,0,1,0,2017-31116496,2016,Pennsylvania,8,4,10,2
50-64,1.4382085,0,0,0,1,1,0,1,0,0,1,0,0,2017-31116496,2016,California,8,4,10,2
50-64,1.0618052,0,1,0,1,0,1,1,1,1,0,1,0,2017-31116496,2016,Louisiana,8,4,10,2
50-64,.65236986,1,0,0,0,1,0,1,1,0,0,1,0,2017-31116496,2016,Pennsylvania,8,4,10,2
50-64,1.4335942,1,0,0,1,1,0,1,0,0,0,1,0,2017-31116496,2016,Pennsylvania,8,4,10,2
50-64,.38279381,0,0,1,1,1,0,1,1,1,0,1,0,2017-31116496,2016,Wisconsin,8,4,10,2
50-64,.72520041,0,1,0,1,0,1,1,1,1,1,0,0,2017-31116496,2016,Georgia,8,4,10,2
50-64,.57312727,0,0,0,0,1,0,1,1,1,0,0,1,2017-31116496,2016,Idaho,8,4,10,2
50-64,2.8966095,0,0,0,0,1,0,1,0,0,1,0,0,2017-31116496,2016,California,8,4,10,2
65+,.38950792,0,0,0,1,0,1,1,1,0,0,1,0,2017-31116496,2016,California,8,4,10,2
30-49,3.0816622,0,1,0,0,1,0,1,0,0,0,0,1,2017-31116496,2016,North Carolina,8,4,10,2
30-49,2.6787257,0,0,1,0,1,0,1,0,0,1,0,0,2017-31116496,2016,Wisconsin,8,4,10,2
65+,.34845543,0,1,0,1,1,0,1,1,0,1,0,0,2017-31116496,2016,Texas,8,4,10,2
65+,1.2818284,0,0,1,1,1,0,1,0,0,.a,.a,.a,2017-31116496,2016,Michigan,8,4,10,2
50-64,.51534343,1,0,0,1,1,0,1,1,1,.a,.a,.a,2017-31116496,2016,New York,8,4,10,2
65+,.72592312,0,1,0,0,1,0,1,1,0,1,0,0,2017-31116496,2016,Georgia,8,4,10,2
65+,.36491579,1,0,0,0,1,0,1,1,0,1,0,0,2017-31116496,2016,Connecticut,8,4,10,2
65+,.94022393,0,1,0,0,1,0,1,1,0,0,1,0,2017-31116496,2016,Florida,8,4,10,2
65+,.34144667,1,0,0,1,1,0,1,1,1,0,1,0,2017-31116496,2016,New York,8,4,10,2
50-64,.56422246,0,0,0,0,1,0,1,0,0,1,0,0,2017-31116496,2016,California,8,4,10,2
50-64,.20393097,0,0,1,0,1,0,1,1,0,0,0,1,2017-31116496,2016,Wisconsin,8,4,10,2
50-64,.20393097,0,0,1,0,1,0,1,1,1,1,0,0,2017-31116496,2016,Illinois,8,4,10,2
